row_id,english_question,bangla_question
0,"In the figure, triangle ABC is a right triangle. The area of the shaded part ① is 28 square centimeters smaller than the area of the shaded part ②. Given that AB = 20 centimeters, what is the length of BC?",
2,"In the figure, \(BC=2\), point \(A\) is on the circle \(⊙B\) with a radius of \(1\). Connect \(AC\) and construct a regular hexagon \(ACDEFG\) above \(AC\). Connect \(BD\). What is the maximum value of \(BD\)?",
3,"The figure is a geometric body composed of \(4\) identical cubes, and its left view is ( ) 
A. $\boxminus$
B. <img h=""70"" src=""tikuimages/2/2018/400/shoutiniao66/763ece2c89e7feb475221e0b03ec7c45.png"" w=""100"" />
C. $\boxed { \begin{array} { r l } \end{array} }$
D. $\boxed { + }$",
4,"As shown in the figure, a fishing boat is sailing at a constant speed towards the east on the sea surface. At point $A$, the lighthouse $M$ is observed to be in the direction of 60 degrees north of east. After sailing for half an hour, the boat arrives at point $B$, where the lighthouse $M$ is observed to be in the direction of 30 degrees north of east. How many more minutes must the boat continue sailing to reach the closest distance to the lighthouse?",
5,"Triangle ABC is a lattice triangle. The number of lattice triangles that can be constructed in the figure, which are congruent to triangle ABC and share one common side (not including triangle ABC), is ______.",
7,"In the figure, given that lines a and b are intersected by line c, what is the corresponding angle to ∠1?",
9,"In the figure, AB is the diameter of circle O, BC is tangent to circle O, OD is parallel to AC, and OD and AC intersect circle O at points F and E, respectively. Given that OF = AE and OA = 1, find the length of EC.",
10,"In the figure, ∠1 = 83°, ∠2 = 97°, ∠3 = 78°, what is the measure of ∠4?",
11,Calculate the volume of the composite solid shown in the figure. (Unit: cm),
13,"As shown in the image (2011 Anxi County Quality Inspection), the diagonals of rectangle ABCD intersect at point O. A line passing through point O intersects AD and BC at points E and F, respectively. If the length and width of the rectangle are 4 cm and 3 cm respectively, what is the area of the shaded part in cm²?",
14,"In the figure, if lines a and b are parallel, then |x - y| = ( )",
15,"As shown in the figure, AE = 5 cm, CF = 2 cm, AB = 6 cm, CD = 4 cm. Find the area of quadrilateral AFCE.",
16,"Given that $PD$ is perpendicular to the plane of rectangle $ABCD$, how many pairs of mutually perpendicular planes are there?
A. 2 pairs
B. 3 pairs
C. 4 pairs
D. 5 pairs",
