row_id,english_question,bangla_question
1800,"The large triangle in the figure represents 428, and the shaded part in the figure represents .",
1801,"In the figure, Xiao Hong conducted an experiment by rotating the regular hexagon ABCDEF clockwise around point F to reach the position of A'B'C'D'E'F'. The angle of rotation is ( )
A. 60°
B. 45°
C. 120°
D. 90°",
1802,"In the figure, which of the following angles is a downward angle? ( )
A. ∠1
B. ∠2
C. ∠3
D. ∠4",
1803,"As shown in the figure, when a cylindrical glass filled halfway with water is placed horizontally, the shape of the water surface is ( )
A. Circle
B. Rectangle
C. Ellipse
D. Parallelogram",
1804,"In the figure, a wedge in the shape of a right triangle ABC is driven horizontally into the bottom of a wooden stake at point P. Given that the angle of inclination of the wedge's sloping surface is 20°, to raise the wooden stake by 5 cm, the wedge must advance horizontally by ___ cm.",
1805,"In right triangle ABC, with AB = 3 and BC = 4, the center O of circle O lies on AC, and circle O is tangent to BC at point D. Find the radius of circle O.",
1806,"Tangram is an intellectual toy created by our ancestors, originating from the Pythagorean theorem. The entire Tangram is divided into seven pieces from square ABCD (which consists of five isosceles right triangles, one square, and one parallelogram). As shown in the second image, it forms a trapezoid MNGH. If the side length of square ABCD is 12 cm, what is the perimeter of trapezoid MNGH in cm? (Result retains the square root).",
1807,"If a geometric body's three views are as shown (unit length: cm), what is the volume of this geometric body?
A. 96cm³
B. 80cm³
C. (80+16 \sqrt {2}) cm³
D. \frac {224}{3} cm³",
1808,"As shown in the figure, the hyperbola is given by \( y = \frac{2}{x} \) (for \( x > 0 \)). It passes through the vertices A and C of quadrilateral OABC, where \( \angle ABC = 90^\circ \). The line OC bisects the angle between OA and the positive x-axis, and AB is parallel to the x-axis. After folding triangle ABC along AC, triangle AB'C is obtained, with point B' falling on OA. Find the area of quadrilateral OABC.",
1809,"In the figure, each small square has a side length of 1 unit. If point A is represented by the coordinates (0,0) and point B is represented by the coordinates (3,4), then point C is represented by ______.",
1810,"In the figure, in rectangle ABCD, AB=18, BC=16, circle O₁ is tangent to the sides AD, AB, and CD at points E, F, and G respectively, circle O₂ is tangent to the sides BC and CD at points K and H, and tangent to circle O₁ at point P. What is the radius of circle O₂?",
1811,"As shown in the figure, which of the following conditions cannot make \( \triangle ADE \sim \triangle ACB \)?
A. DE ∥ BC
∠AED = ∠B
\( \frac{AD}{AC} = \frac{AE}{AB} \)
∠ADE = ∠C",
1812,"Given the three views of a geometric body (unit: cm) as shown in the figure, the volume of this geometric body is ______",
1813,"In the figure, there is a street lamp on a straight path. At night, when Xiao Lei walks straight from point B to point A, the relationship between the length of his shadow y under the light and the distance x he walks is roughly ( )
Option A: ![Option A](tikuimages/2/2016/400/shoutiniao44/34a35af0193d5edf0d4fb3fbebf2b704.png)
Option B: ![Option B](tikuimages/2/2016/400/shoutiniao10/5f24f9512b67184d649e235542db4d0f.png)
Option C: ![Option C](tikuimages/2/2016/400/shoutiniao30/044decf01aab2ae7efb0ce3ed0633a35.png)
Option D: ![Option D](tikuimages/2/2016/400/shoutiniao14/b6f33c304cae4fdb8e38aff41fe7e16a.png)
Option E:",
1814,"In the figure, point C is on line segment BD. Equilateral triangles △ABC and △CDE are constructed on the same side of BD with sides BC and CD, respectively. Line AD intersects CE at point F, and line BE intersects AC at point G. How many pairs of triangles in the figure can be obtained from each other through rotation?
A. 1 pair
B. 2 pairs
C. 3 pairs
D. 4 pairs",
1815,"In the image, the numbers represent the degrees of each angle. Guess the measure of angle ∠α in degrees.",
1816,"In the figure, triangle DEF is obtained by rotating triangle ABC clockwise around point P. If point A is represented by the coordinates (2, 1) and point B by (1, 2) on the grid paper, what are the coordinates of point P?
A. (5, 2)
B. (2, 5)
C. (2, 1)
D. (1, 2)",
1817,"A piece of land has the shape and dimensions as shown in the figure, what is its area?",
1818,"In the rectangle \(ABCD\), where \(BC=8\) and \(AB=6\), two moving circles passing through points \(B\) and \(D\) are tangent to \(AC\) and intersect \(AB\), \(BC\), \(AD\), and \(DC\) at points \(G\), \(H\), \(E\), and \(F\) respectively. What is the minimum value of \(EF + GH\)?
A. \(6\)
B. \(8\)
C. \(9.6\)
D. \(10\)",
1819,"In the figure, triangles \( \triangle ABM \) and \( \triangle CDM \) are two congruent equilateral triangles, and \( MA \perp MD \). The following four conclusions are given: (1) \( \angle MBC = 25° \); (2) \( \angle ADC + \angle ABC = 180° \); (3) Line \( MB \) is the perpendicular bisector of segment \( CD \); (4) Quadrilateral \( ABCD \) is an axis-symmetric figure. The number of correct conclusions is ( )
A. 1
B. 2
C. 3
D. 4",
1820,"In the figure, the angle bisectors \(CD\) and \(BE\) of triangle \(ABC\) intersect at \(F\), with \(∠A=90^{\circ}\), \(EG \parallel BC\), and \(CG \perp EG\) at \(G\). The following conclusions are given: \(① ∠CEG = 2∠DCB\); \(② CA\) bisects \(∠BCG\); \(③ ∠ADC = ∠GCD\); \(④ ∠DFB = \frac{1}{2}∠CGE\). Which of the following conclusions is correct? (Fill in the number)",
1821,"In the figure, E is a point on the diagonal BD of parallelogram ABCD. The extension of AE intersects side CD at point F. Without adding auxiliary lines, please write out a pair of similar triangles in the figure:",
1822,"Which of the following patterns can be considered as centrally symmetric figures?
A. 1
B. 2
C. 3
D. 4",
1823,How many different methods can be used to calculate the area of the given composite figure?,
